Country,NRR
"['Canada', 'U.S.A.']",[0.35063997]
"['Namibia', 'Oman']",[0.37112385]
"['P.N.G.', 'West Indies']",[0.4175395]
"['South Africa', 'Sri Lanka']",[1.0456989]
"['Afghanistan', 'Uganda']",[5.412564]
"['Nepal', 'Netherlands']",[0.]
"['England', 'Scotland']",[1.3185929]
"['Australia', 'Oman']",[0.77834797]
"['India', 'Ireland']",[0.2609043]
"['P.N.G.', 'Uganda']",[1.0052043]
"['Pakistan', 'U.S.A.']",[0.34630397]
"['Namibia', 'Scotland']",[1.7948854]
"['Bangladesh', 'Sri Lanka']",[0.41446903]
"['Canada', 'Ireland']",[0.7540463]
"['Afghanistan', 'New Zealand']",[1.0613571]
"['Australia', 'England']",[0.6430059]
"['Netherlands', 'South Africa']",[2.3159356]
"['Uganda', 'West Indies']",[2.536028]
"['India', 'Pakistan']",[0.]
"['Oman', 'Scotland']",[0.26668015]
"['Bangladesh', 'South Africa']",[1.3550138]
"['Nepal', 'Sri Lanka']",[4.6976795]
"['Canada', 'Pakistan']",[0.97623366]
"['Australia', 'Namibia']",[0.66296345]
"['New Zealand', 'West Indies']",[0.9300645]
"['India', 'U.S.A.']",[0.16599485]
"['Bangladesh', 'Netherlands']",[0.1393028]
"['Afghanistan', 'P.N.G.']",[2.410735]
"['England', 'Oman']",[2.6134415]
"['Nepal', 'South Africa']",[0.4256796]
"['New Zealand', 'Uganda']",[5.211272]
"['Ireland', 'U.S.A.']",[0.45247486]
"['Canada', 'India']",[2.1425905]
"['Australia', 'Scotland']",[0.7288171]
"['England', 'Namibia']",[2.040862]
"['Bangladesh', 'Nepal']",[0.29974887]
"['Ireland', 'Pakistan']",[0.15539125]
"['Netherlands', 'Sri Lanka']",[0.5471793]
"['New Zealand', 'P.N.G.']",[6.714325]
"['Afghanistan', 'West Indies']",[0.4771609]
