Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Pakistan,169/6,20.0,8.45,1,won,,v South Africa,Lahore,11 Feb 2021,
South Africa,166/6,20.0,8.30,2,lost,,v Pakistan,Lahore,11 Feb 2021,
Pakistan,144/7,20.0,7.20,1,lost,,v South Africa,Lahore,13 Feb 2021,
South Africa,145/4,16.2,8.87,2,won,,v Pakistan,Lahore,13 Feb 2021,
South Africa,164/8,20.0,8.20,1,lost,,v Pakistan,Lahore,14 Feb 2021,
Pakistan,169/6,18.4,9.05,2,won,,v South Africa,Lahore,14 Feb 2021,
New Zealand,184/5,20.0,9.20,1,won,,v Australia,Christchurch,22 Feb 2021,
Australia,131,17.3,7.48,2,lost,,v New Zealand,Christchurch,22 Feb 2021,
New Zealand,219/7,20.0,10.95,1,won,,v Australia,Dunedin,25 Feb 2021,
Australia,215/8,20.0,10.75,2,lost,,v New Zealand,Dunedin,25 Feb 2021,
Australia,208/4,20.0,10.40,1,won,,v New Zealand,Wellington,3 Mar 2021,
New Zealand,144,17.1,8.38,2,lost,,v Australia,Wellington,3 Mar 2021,
Sri Lanka,131/9,20.0,6.55,1,lost,,v West Indies,Coolidge,3 Mar 2021,
West Indies,134/6,13.1,10.17,2,won,,v Sri Lanka,Coolidge,3 Mar 2021,
Australia,156/6,20.0,7.80,1,won,,v New Zealand,Wellington,5 Mar 2021,
New Zealand,106,18.5,5.62,2,lost,,v Australia,Wellington,5 Mar 2021,
Sri Lanka,160/6,20.0,8.00,1,won,,v West Indies,Coolidge,5 Mar 2021,
West Indies,117,18.4,6.26,2,lost,,v Sri Lanka,Coolidge,5 Mar 2021,
Australia,142/8,20.0,7.10,1,lost,,v New Zealand,Wellington,7 Mar 2021,
New Zealand,143/3,15.3,9.22,2,won,,v Australia,Wellington,7 Mar 2021,
Sri Lanka,131/4,20.0,6.55,1,lost,,v West Indies,Coolidge,7 Mar 2021,
West Indies,134/7,19.0,7.05,2,won,,v Sri Lanka,Coolidge,7 Mar 2021,
India,124/7,20.0,6.20,1,lost,,v England,Ahmedabad,12 Mar 2021,
England,130/2,15.3,8.38,2,won,,v India,Ahmedabad,12 Mar 2021,
England,164/6,20.0,8.20,1,lost,,v India,Ahmedabad,14 Mar 2021,
India,166/3,17.5,9.30,2,won,,v England,Ahmedabad,14 Mar 2021,
India,156/6,20.0,7.80,1,lost,,v England,Ahmedabad,16 Mar 2021,
England,158/2,18.2,8.61,2,won,,v India,Ahmedabad,16 Mar 2021,
Afghanistan,198/5,20.0,9.90,1,won,,v Zimbabwe,Abu Dhabi,17 Mar 2021,
Zimbabwe,150/7,20.0,7.50,2,lost,,v Afghanistan,Abu Dhabi,17 Mar 2021,
India,185/8,20.0,9.25,1,won,,v England,Ahmedabad,18 Mar 2021,
England,177/8,20.0,8.85,2,lost,,v India,Ahmedabad,18 Mar 2021,
Afghanistan,193/5,20.0,9.65,1,won,,v Zimbabwe,Abu Dhabi,19 Mar 2021,
Zimbabwe,148,17.1,8.62,2,lost,,v Afghanistan,Abu Dhabi,19 Mar 2021,
Afghanistan,183/7,20.0,9.15,1,won,,v Zimbabwe,Abu Dhabi,20 Mar 2021,
Zimbabwe,136/5,20.0,6.80,2,lost,,v Afghanistan,Abu Dhabi,20 Mar 2021,
India,224/2,20.0,11.20,1,won,,v England,Ahmedabad,20 Mar 2021,
England,188/8,20.0,9.40,2,lost,,v India,Ahmedabad,20 Mar 2021,
New Zealand,210/3,20.0,10.50,1,won,,v Bangladesh,Hamilton,28 Mar 2021,
Bangladesh,144/8,20.0,7.20,2,lost,,v New Zealand,Hamilton,28 Mar 2021,
New Zealand,173/5,17.5,9.70,1,won,,v Bangladesh,Napier,30 Mar 2021,
Bangladesh,142/7,16.0,8.87,2,lost,,v New Zealand,Napier,30 Mar 2021,
New Zealand,141/4,10.0,14.10,1,won,,v Bangladesh,Auckland,1 Apr 2021,
Bangladesh,76,9.3,8.00,2,lost,,v New Zealand,Auckland,1 Apr 2021,
Uganda,134/5,20.0,6.70,1,lost,,v Namibia,Windhoek,3 Apr 2021,
Namibia,135/3,14.5,9.10,2,won,,v Uganda,Windhoek,3 Apr 2021,
Namibia,134/6,20.0,6.70,1,won,,v Uganda,Windhoek,5 Apr 2021,
Uganda,65/5,12.4,5.13,2,lost,,v Namibia,Windhoek,5 Apr 2021,
Namibia,189/3,20.0,9.45,1,won,,v Uganda,Windhoek,5 Apr 2021,
Uganda,124,20.0,6.20,2,lost,,v Namibia,Windhoek,5 Apr 2021,
South Africa,188/6,20.0,9.40,1,lost,,v Pakistan,Johannesburg,10 Apr 2021,
Pakistan,189/6,19.5,9.52,2,won,,v South Africa,Johannesburg,10 Apr 2021,
Pakistan,140/9,20.0,7.00,1,lost,,v South Africa,Johannesburg,12 Apr 2021,
South Africa,141/4,14.0,10.07,2,won,,v Pakistan,Johannesburg,12 Apr 2021,
South Africa,203/5,20.0,10.15,1,lost,,v Pakistan,Centurion,14 Apr 2021,
Pakistan,205/1,18.0,11.38,2,won,,v South Africa,Centurion,14 Apr 2021,
South Africa,144,19.3,7.38,1,lost,,v Pakistan,Centurion,16 Apr 2021,
Pakistan,149/7,19.5,7.51,2,won,,v South Africa,Centurion,16 Apr 2021,
Netherlands,136/4,20.0,6.80,1,lost,,v Nepal,Kirtipur,17 Apr 2021,
Nepal,141/1,15.0,9.40,2,won,,v Netherlands,Kirtipur,17 Apr 2021,
Netherlands,191/2,20.0,9.55,1,won,,v Malaysia,Kirtipur,18 Apr 2021,
Malaysia,176/8,20.0,8.80,2,lost,,v Netherlands,Kirtipur,18 Apr 2021,
Malaysia,109,16.5,6.47,1,lost,,v Nepal,Kirtipur,19 Apr 2021,
Nepal,113/1,12.1,9.28,2,won,,v Malaysia,Kirtipur,19 Apr 2021,
Nepal,206/6,20.0,10.30,1,lost,,v Netherlands,Kirtipur,20 Apr 2021,
Netherlands,209/7,19.3,10.71,2,won,,v Nepal,Kirtipur,20 Apr 2021,
Netherlands,107/4,13.0,8.23,1,tied,,v Malaysia,Kirtipur,21 Apr 2021,
Malaysia,91/4,10.0,9.10,2,tied,,v Netherlands,Kirtipur,21 Apr 2021,
Pakistan,149/7,20.0,7.45,1,won,,v Zimbabwe,Harare,21 Apr 2021,
Zimbabwe,138/7,20.0,6.90,2,lost,,v Pakistan,Harare,21 Apr 2021,
Nepal,217/7,20.0,10.85,1,won,,v Malaysia,Kirtipur,22 Apr 2021,
Malaysia,148,19.1,7.72,2,lost,,v Nepal,Kirtipur,22 Apr 2021,
Zimbabwe,118/9,20.0,5.90,1,won,,v Pakistan,Harare,23 Apr 2021,
Pakistan,99,19.5,4.99,2,lost,,v Zimbabwe,Harare,23 Apr 2021,
Nepal,238/3,20.0,11.90,1,won,,v Netherlands,Kirtipur,24 Apr 2021,
Netherlands,96,17.2,5.53,2,lost,,v Nepal,Kirtipur,24 Apr 2021,
Pakistan,165/3,20.0,8.25,1,won,,v Zimbabwe,Harare,25 Apr 2021,
Zimbabwe,141/7,20.0,7.05,2,lost,,v Pakistan,Harare,25 Apr 2021,
Luxembourg,126/5,20.0,6.30,1,lost,,v Czech Rep.,Vinor,21 May 2021,
Czech Rep.,127/1,18.2,6.92,2,won,,v Luxembourg,Vinor,21 May 2021,
Luxembourg,143/5,20.0,7.15,1,lost,,v Austria,Vinor,21 May 2021,
Austria,59/3,7.3,7.86,2,won,,v Luxembourg,Vinor,21 May 2021,
Austria,162/6,20.0,8.10,1,won,,v Czech Rep.,Vinor,22 May 2021,
Czech Rep.,84,18.1,4.62,2,lost,,v Austria,Vinor,22 May 2021,
Czech Rep.,161/7,20.0,8.05,1,lost,,v Luxembourg,Vinor,22 May 2021,
Luxembourg,165/4,18.4,8.83,2,won,,v Czech Rep.,Vinor,22 May 2021,
Austria,179/5,20.0,8.95,1,lost,,v Luxembourg,Vinor,23 May 2021,
